X 	 | 	 Y
-----------
22 	 | 	 10
13 	 | 	 9
23 	 | 	 4
11 	 | 	 23
6 	 | 	 3
14 	 | 	 17
15 	 | 	 23
16 	 | 	 11
3 	 | 	 3
20 	 | 	 1
11 	 | 	 21
9 	 | 	 15
17 	 | 	 16
4 	 | 	 5
22 	 | 	 11
15 	 | 	 13
23 	 | 	 10
17 	 | 	 3
11 	 | 	 19
3 	 | 	 6
21 	 | 	 2
14 	 | 	 2
24 	 | 	 2
25 	 | 	 23
18 	 | 	 5
19 	 | 	 10
12 	 | 	 4
24 	 | 	 5
18 	 | 	 16
12 	 | 	 11
15 	 | 	 5
25 	 | 	 23
11 	 | 	 14
9 	 | 	 17
9 	 | 	 18
3 	 | 	 8
24 	 | 	 17
23 	 | 	 15
13 	 | 	 22
4 	 | 	 1
8 	 | 	 12
16 	 | 	 2
22 	 | 	 22
25 	 | 	 14
17 	 | 	 3
25 	 | 	 1
24 	 | 	 13
6 	 | 	 9
24 	 | 	 10
9 	 | 	 2
22 	 | 	 23
4 	 | 	 3
23 	 | 	 20
23 	 | 	 23
18 	 | 	 12
23 	 | 	 23
8 	 | 	 12
22 	 | 	 22
25 	 | 	 2
21 	 | 	 19
18 	 | 	 2
19 	 | 	 9
24 	 | 	 7
4 	 | 	 20
25 	 | 	 12
23 	 | 	 6
24 	 | 	 1
11 	 | 	 12
5 	 | 	 6
6 	 | 	 20
21 	 | 	 14
12 	 | 	 9
22 	 | 	 11
8 	 | 	 3
15 	 | 	 21
5 	 | 	 11
19 	 | 	 17
23 	 | 	 10
6 	 | 	 2
4 	 | 	 17
25 	 | 	 11
15 	 | 	 17
24 	 | 	 22
5 	 | 	 12
17 	 | 	 9
10 	 | 	 23
15 	 | 	 6
7 	 | 	 12
5 	 | 	 21
17 	 | 	 14
25 	 | 	 12
19 	 | 	 11
10 	 | 	 6
11 	 | 	 8
22 	 | 	 18
11 	 | 	 3
7 	 | 	 4
12 	 | 	 23
25 	 | 	 23
20 	 | 	 1
24 	 | 	 15
3 	 | 	 21
11 	 | 	 1
7 	 | 	 17
20 	 | 	 20
6 	 | 	 22
10 	 | 	 9
7 	 | 	 14
3 	 | 	 23
19 	 | 	 9
16 	 | 	 18
17 	 | 	 7
12 	 | 	 22
23 	 | 	 7
8 	 | 	 19
23 	 | 	 7
5 	 | 	 11
11 	 | 	 22
12 	 | 	 20
16 	 | 	 23
4 	 | 	 15
8 	 | 	 21
10 	 | 	 20
20 	 | 	 14
14 	 | 	 17
9 	 | 	 21
21 	 | 	 22
11 	 | 	 12
3 	 | 	 9
21 	 | 	 12
4 	 | 	 21
14 	 | 	 17
4 	 | 	 20
21 	 | 	 4
15 	 | 	 5
22 	 | 	 2
22 	 | 	 9
10 	 | 	 21
25 	 | 	 15
14 	 | 	 16
19 	 | 	 6
17 	 | 	 19
24 	 | 	 12
25 	 | 	 9
